0,0.33,31.30,#,#,#,#,#,#,#,#,#,#,-9.79,-5.15,-2.84,0.26,0.23,-0.45,22.41,0,1000.00,*D7
147,85.92,43.20,#,#,#,#,#,#,#,185.49,0.32,23.27,37.73,1.51,0.58,9.96,-0.06,0.03,-0.02,23.49,0,1000.00,*C8
148,86.50,43.20,#,#,#,#,#,#,#,185.53,0.32,23.26,37.70,0.75,0.80,10.02,-0.08,-0.00,0.30,23.49,0,1000.00,*4A
149,87.10,43.20,#,#,#,#,#,#,#,185.50,0.31,23.27,37.67,1.44,0.54,10.06,-0.06,0.02,-0.02,23.54,0,1000.00,*9D
150,87.68,43.20,#,#,#,#,#,#,#,185.60,0.32,23.27,37.65,1.43,0.54,10.06,-0.08,0.03,-0.01,23.64,0,1000.00,*AA
151,88.26,43.20,#,#,#,#,#,#,#,185.41,0.32,23.26,37.63,1.34,0.67,10.10,-0.14,-0.04,-0.02,23.54,0,1000.00,*9A
152,88.84,43.20,#,#,#,#,#,#,#,185.59,0.32,23.27,37.62,1.90,0.85,10.73,-0.09,0.00,0.02,23.59,0,1000.00,*6A
153,89.43,43.20,#,#,#,#,#,#,#,185.51,0.32,23.27,37.59,2.05,0.64,11.82,-0.05,0.12,-0.02,23.68,0,1000.00,*1C
154,90.01,43.20,#,#,#,#,#,#,#,185.58,0.32,23.28,37.57,1.58,1.42,8.63,-0.30,0.34,-0.20,23.59,0,1000.00,*97
155,90.60,43.90,#,#,#,#,#,#,#,185.57,0.32,23.28,37.74,1.78,0.05,9.42,-0.00,0.04,0.15,23.54,0,1000.00,*EE
156,91.18,43.20,#,#,#,#,#,#,#,185.23,0.32,23.28,38.07,1.83,0.32,9.97,-0.05,0.03,-0.01,23.54,0,1000.00,*EC
157,91.76,43.20,#,#,#,#,#,#,#,185.50,0.32,23.29,38.80,2.11,0.36,10.10,-0.02,0.05,0.30,23.68,0,1000.00,*D4
158,92.34,43.20,#,#,#,#,#,#,#,185.63,0.32,23.29,39.25,1.40,0.46,10.15,-0.08,0.05,-0.00,23.59,0,1000.00,*3F
159,92.93,43.90,#,#,#,#,#,#,#,185.69,0.32,23.29,39.57,4.75,-0.64,10.30,0.03,-0.50,0.02,23.68,0,1000.00,*69
160,93.51,43.90,#,#,#,#,#,#,#,185.70,0.32,23.30,40.30,1.06,1.04,9.99,-0.25,0.07,-0.86,23.87,0,1000.00,*6C
161,94.10,43.90,#,#,#,#,#,#,#,185.62,0.32,23.32,42.02,1.62,0.34,10.16,0.01,0.03,0.21,23.82,0,1000.00,*33
162,94.68,43.20,#,#,#,#,#,#,#,185.59,0.32,23.32,41.94,1.87,0.78,10.75,-0.09,0.06,-0.09,23.68,0,1000.00,*1C
163,95.27,43.20,#,#,#,#,#,#,#,185.60,0.32,23.31,41.58,2.02,0.10,9.60,-0.22,0.11,0.00,23.78,0,1000.00,*B4
164,95.85,43.90,#,#,#,#,#,#,#,185.72,0.32,23.32,41.44,1.75,0.25,10.09,-0.06,0.04,-0.11,23.73,0,1000.00,*2A
165,96.43,43.90,#,#,#,#,#,#,#,185.45,0.32,23.31,41.08,1.92,0.07,10.01,-0.02,0.05,-0.02,23.73,0,1000.00,*3F
166,97.01,43.90,#,#,#,#,#,#,#,185.58,0.32,23.31,40.77,1.28,0.37,10.34,-0.08,0.01,-0.17,23.73,0,1000.00,*98
167,97.60,43.90,#,#,#,#,#,#,#,185.66,0.32,23.31,40.47,2.36,-0.66,10.34,-0.27,-0.46,-0.06,23.82,0,1000.00,*97
168,98.19,43.90,#,#,#,#,#,#,#,185.39,0.31,23.32,40.31,2.40,-0.22,9.70,-0.04,0.06,-0.02,23.78,0,1000.00,*7E
